as-set,descr,members,mnt-by,last-modified,source,AS_count,cone,class
as-alsard-set,al-sardfiberas-set,"as39216,as-alsardfiber,as-althuraya,as-cellnet-set,as202316,as210021,as202354,as204473,as210095,as203653,as59422,as205371,as210194,as207811,as62223,as-nbtel,as210016,as201982,as209699,as49110,as212460,as-sawadland-nt,as-alsalamco,as208341,as204420,as204331,as57588,as202055,as208306,as197882,as62223,as205800,as59458,as-dd,as205473,as49571,as196918,as203257,as57761,as203982,as202699,as206471,as205049,as203459,as201749,as201668,as198735,as42705,as51684,as205889,as-najimaliraqltd,as-nassiraq,as203764,as3178,as200654,as203374,as206893,as202672,as197985,as51539,as-gorannet,as202777,as198735,as198589,as198183,as198802,as206190,as202672,as56484,as201272,as57324,as59588,as57908,as202672,as204249,as59625,as200697,as-dijlaispltd,as34515,as200865,as-onlinecompanyltd,as204152,as201668,as203764,as203217,as-hz,as201031,as203904,as198169,as59458,as57908,as198169,as203409,as58322,as203735,as204798,as208115,as48430,as-nettechltd",ip-alsard,02-02-2023,ripe,99,298,1
as-wnet,wnetandclient,"as1820,as15772,as35523,as62492,as21390,as29067,as48440,as29181,as29335,as34278,as39071,as24685,as41422,as25269,as47795,as41096,as56978,as198162,as198132,as57605,as47900,as196831,as51016,as60419,as31077,as29067,as57612,as33851,as24610,as202165,as198361,as50848,as43497,as43416,as56756,as197254,as25165,as59781,as199440,as64481,as31035,as50952,as64454,as198684,as50856,as64418,as44390,as198987,as197172,as47722,as34136,as206112,as34224,as57197,as29683,as34058,as196632,as202969,as202404,as210330,as42711,as-everestbbn,as-wnet-lviv,as-wnet-kharkiv,as-wnet-odessa,as-wnet-bc,as-wnet-cn,as-wnet-dnepr,as-wnet-zp,as-wnet-nik,as-wnet-nikopol,as-wnet-krr,as-wtuc,as-2c,as-kampod,as-voks,as-lanetua,as-nashnet,as-svua,as-united-cs,as-ua-sitel,as-ukrnet,as-uitc,as-vedekon,as-newtelecom,as-bilink,as-pplnet,as-utg-ua,as-utg-v6,as-wibo,as-uos,as-xat,as-maximum,as-master,as-gtu-v6,as-vinfast,as-discovery,as-eunic,as-uacity,as-sim-ltd,as-fastiv,as-ua-hm,as-intraffic,as-uag,as-komtelua,as-freehost,as-iprosrv,as-mobicom,as-mobikom,as8461,as210294,as28724,as210071,as-starlight,as-ukrbit,as59577,as-magnus",wnet-mnt,17-02-2022,ripe,117,1270,0
as-ubnix-v6,ukrainianbackbonenetworksinternetipv6exchangeas-set,"as205028,as-ubnix,as-adam-ua-v6,as-akamai,as21343,as-anexia,as-arkadax,as48915,as56834,as34058,as-lifecell-ipv6,as-actpa,as24724,as-foreign6,as-35362,as-klnk-v6,as-elhim,as-bite-v6,as29203,as-briz,as-gtld,as-campus-rv,as-sds,as-cdn77,as56823,as-cloudflare,as-cloudnetworks,as-colocall-ua,as-columbus,as212372,as-corbina-ua,as-cosmonova,as-cyfra-ipv6,as61297,as-ua,as-deltax,as-dipt-v6,as-discovery,as57197,as-ukdane,as-ett,as-eurotele,as-exatel-int,as-expressua,as-facebook,as51597,as-freehost,as-fnt,as-fregat,as-galcom,as49720,as-viner,as-ggt,as-gipernet-ix,as-google,as-gtu-v6,as-hetzner,as24812,as29067,as-huawei,as-hurricanev6,as-novi,as-idstrategy,as-infomir,as-intertelecom,as-ints,as-ipnetua,as-ip-port,as-status-v6,as-its6,as-ittelenet,as-citkh-v6,as6807,as-uran-khr,as-kichkas,as-kievnetv6,as43409,as13032,as-komitex,as25526,as-lanetua-v6,as-lattelekom,as-th,as-limanet-6,as-localka6,as-lanplusnet,as-lu,as-matrixnet,as-maximum-v6,as-khmaxnet-v6,as-mediana,as54994,as-microsoft,as-50073,as-mirinv,as-mirohost-v6-b,as-mixmedia-ix,as-moldtelecom-v6,as-ctsmd,as-ukraine,as-netix-int,as-novi-v6,as39512,as199995,as-peer,as-pch,as-pcn-v6,as-fenixvt,as-pitline-v6,as-mirohost-pl,as49747,as-cust-v6,as-rpls,as-rs6,as-renome,as-rzk,as-uaseech,as-omnilance,as51500,as-kopiyka-v6,as-shtorm,as209106,as-6723,as-6723-v6,as-smartmedianetwork,as-soho-to-any,as-south,as-stargroup,as-synapse,as-gratus,as-telcom-ua,as-telegroup,as-tenet-ua,as-terabit,as-tnsua-v6,as3326,as-ext,as-apex,as13188,as-inet-ua,as-transkz,as-pantel,as-uacity,as-uarnet,as205673,as211332,as-ukrhub-v6,as-ukrtelbt,as-netunder,as-untc-v6,as-uos-ix,as-uran-ua,as49125,as-utg-v6,as-utels,as-ucomline,as-vizitnet,as-voks-v6,as12963,as-gixp,as-wgi,as-gcore-v6,as-webpro,as-wicom-ua,as-wildpark-v6,as-xcity,as-x-com",mnt-ubnix,30-05-2023,ripe,167,19190,0
as29518:as-bredband2,bredband2,"as29518,as30912,as15912,as33907,as-soft,as44838,as44838,as-adv,as48871,as197557,as12935,as31677,as62183,as-obduro,as48220,as-fouredge,as196793,as197194,as198965,as199154,as199977,as199345,as-webbaccess,as47155,as-viaeuropa,as201821,as61146,as-n62,as200144,as200820,as29672,as200765,as-bambuser,as60396,as6782,as25176,as-acnet,as-bdnet,as203471,as50171,as202631,as43065,as-interlan-se,as205841,as64403,as-wireline,as203788,as205054,as204896,as39806,as-admax,as3573,as205788,as208933,as25037,as-dreamhack,as205198,as-dustin,as207374,as45011,as-a3,as6782,as-bdnet,as206013,as209570,as208373,as34686",bb2-mnt,03-05-2023,ripe,67,90,0
as-oriontelekom,includesoriontelekomasandiptransitcustomers,"as9125,as57031,as44306,as203752,as212897,as9002,as198370,as59609,as47731,as48015,as201278,as213008,as196957,as56681,as205201,as205786,as202749,as198360,as205313,as-oriontelekomtim,as43547,as202977,as198371,as203752,as8534,as58179,as34224,as203571,as44287,as47222,as43335,as51002,as52072,as52026,as-mozzartbet,as50653,as56708,as57282,as51927,as50781,as49198,as198237,as12823,as57595,as48580,as29604,as51859,as52105,as199493,as56816,as48164,as47479,as198371,as43191,as200923,as43125,as203879,as203186,as200855,as42186,as34299,as43277,as49167,as52116,as48580,as15958,as13004,as207069,as198360,as207068,as43608,as28964,as31042,as21215,as211285,as21357,as11344,as49167,as213180,as3356,as25431,as-e-caps",oriontelekom-mnt,22-05-2023,ripe,82,78,1
as-megaport-rs-mel,forfurtherdetailsrefertoaut-numas9033,"as-17766,as-55195,as-58907,as-9268arcstar,as-acorus,as-akamai,as-apernet,as-apple,as-automattic,as-bupa,as-centorrino,as-cit,as-colo-au,as-constant,as-edgecast,as-encoo,as-equant-oceania,as-ethangroup,as-expereo,as-fastly,as-feenix-radb,as-gcore,as-google,as-gtld,as-hurricane,as-hyperwave-au,as-incapsula,as-launtel,as-m21,as-microsoft,as-netsg,as-netskope,as-nflx,as-nutrien,as-opendns,as-pch,as-prole,as-retrac,as-rwts-ds,as-softlayer,as-superloop,as-synergywholesale,as-tasmanet,as-virtutel-transit,as-vostro,as-wireline-au,as-xintegration,as-zettagrid,as10143,as-exetel,as132203,as-tencent,as132245,as132394,as132405,as132476,as132533,as132848,as133120,as133159,as133173,as133189,as133206,as13335,as133389,as133403,as133509,as133859,as133930,as133934,as134061,as134143,as134832,as134844,as135060,as135126,as135408,as135425,as135526,as136204,as136784,as136972,as136994,as137042,as137079,as137250,as138002,as139077,as139634,as140051,as-gippswifi,as140627,as140994,as141000,as14127,as141734,as141992,as148968,as149446,as17473,as17477,as17559,as17898,as18255,as23667,as23871,as23918,as-global,as23943,as24132,as24395,as24429,as24443,as30103,as31800,as38611,as38790,as38858,as38883,as395505,as45240,as45269,as45594,as45763,as45780,as45852,as45949,as4764,as-ab,as4826,as-vocus,as4857,as55304,as55555,as55567,as55581,as55803,as-all,as55884,as56087,as56123,as56199,as56294,as58530,as58580,as58989,as64015,as64098,as7477,as7575,as-customer,as7600,as7628,as9280,as-complete,as9519,as9652,as9723,as-all,as9749",ecix-mnt,27-05-2023,ripe,160,5479,1
as-nextlayer,nextlayeras-set,"as1764,as6883,as8387,as-t-systems-at,as8787,as8971,as9023,as12654,as13008,as13022,as13042,as13068,as15655,as16099,as16172,as20751,as20863,as21079,as24656,as24777,as25011,as25012,as25053,as25101,as25522,as26415,as28760,as28771,as28839,as28848,as28857,as28880,as29161,as29429,as29677,as33917,as34090,as34328,as35317,as35339,as35492,as35552,as35370,as38967,as39394,as39409,as39508,as41363,as42114,as42378,as42557,as42572,as42715,as42829,as43913,as43916,as44133,as44191,as44385,as44594,as44753,as44760,as44865,as46103,as47132,as47186,as47297,as47592,as47593,as48984,as49660,as49882,as50047,as50351,as51454,as51556,as51560,as51890,as52111,as56612,as58131,as59779,as59789,as59949,as60368,as60520,as60859,as62363,as62373,as196697,as197458,as197636,as198521,as198650,as199015,as199216,as199217,as199893,as200112,as200273,as208245,as200501,as200849,as201185,as201535,as201951,as202616,as202664,as203717,as205243,as206148,as206159,as207011,as207203,as207458,as207637,as207791,as208323,as208089,as209553,as209571,as209575,as210237,as211060,as211666,as211763,as212379,as-acg,as-aconet,as-andom-tec,as-anexia,as-anycasted,as-apa,as-asfinag,as-azista,as-brz,as-ccc-event,as-cnet,as-emarsys,as-emit,as-funknetz,as-gstwat,as-h3g-austria,as-hotze,as-huemer,as-itandtel,as-jm-data,as-jaggaer,as-kabs,as-kapsch,as-lagis,as-linznet,as-lnt,as-lucesem,as-mmc-at,as-nemox-net,as-nicat,as-mediainvent,as-mrs,as-oebv,as-pxpat,as-salzburg-ag,as-selfnet,as-scc,as-set-conova,as-set-stw,as-jaggaer,as-tkswf,as-wienstrom,as-wntnewmedia,as-world4you,as-xinon-carrier-v4,as-set-jumper,as-teletec,as-inabox",as1764-mnt,10-03-2023,ripe,175,596,1
as-fiberring,fiberringasset,"as38930,as-leaseweb,as49206,as51276,as9017,as60679,as206786,as8283,as-coloclue,as8315,as8328,as15535,as16281,as207843,as25128,as25433,as26120,as29028,as29141,as29659,as30785,as35156,as35669,as41696,as42093,as42158,as42812,as42624,as43861,as47172,as47344,as47714,as48232,as50018,as50343,as50570,as50968,as51446,as51665,as56372,as57382,as60558,as60696,as60765,as60820,as61005,as61007,as47482,as62403,as62715,as197302,as197985,as198012,as198147,as198660,as199135,as200052,as201372,as212951,as24409,as43437,as57504,as-technos,as-iqip,as-hilf,as-gigacodes,as-telediscount,as-wikimedia,as-ajova,as-breedbandnederland,as-itshosted,as-phoenixnap,as-infotheek,as-dcf,as-foxcloud,as-dt-it,as-sdnbucks,as134835",fbx-mnt,06-12-2022,ripe,78,139,0
as-tsf-global,teliafinlandoyj,"as1759,as764,as1342,as2129,as-trade,as3274,as12582,as24809,as8812,as29093,as29601,as30754,as1234,as41242,as-tnnet,as43382,as39662,as41701,as41242,as48156,as41648,as60846,as1738,as49802,as-set-dcf,as50290,as34541,as49059,as50603,as-lanwan,as52170,as-cybercom,as43937,as204452,as50420,as51188,as51726,as-set-seltimil,as-netplaza,as52170,as-javerdel,as25391,as24752,as57066,as197930,as375,as198737,as199486,as6839,as60414,as39665,as27471,as15133,ast,as198243,as200087,as201964,as48618,as16273,as201056,as201057,as201991,as197115,as29282,as201070,as200996,as50296,as201557,as200656,as-set-fne,as203817,as49282,as-ficolo,as61340,as203609,as-s1net,as30978,as27500,as207038,as206734,as203034,as20569,as203296,as35382,as206381,as205250,as29422,as199122,as34273,as48582,as8983,as209123,as209457,as209633,as47983,as207670,as21490,as210180,as61074,as207261,as209682,as1738,as29422,as394028,as212497,as207797,as199486,as211848,as210722,as62254,as211599,as211989,as204954,as199169",datanet-noc,26-04-2023,ripe,114,140,0
as-moeqing,moeqingnetwork-downstream,"as112,as7721,as9516,as9886,as17830,as38281,as39753,as41255,as41732,as47158,as47995,as50580,as50738,as52392,as57330,as57934,as59598,as61302,as64445,as132623,as133555,as134413,as134477,as134478,as134488,as134708,as134993,as135364,as135395,as136451,as136591,as137835,as138211,as138517,as138990,as139216,as139231,as139317,as139328,as139618,as139734,as139782,as139833,as140506,as140731,as140936,as140961,as141011,as141429,as141445,as141694,as141776,as142031,as142111,as142112,as142130,as142158,as142164,as142277,as142280,as142281,as142282,as142418,as142419,as142438,as142551,as142553,as142554,as142582,as142586,as142634,as142642,as146961,as146989,as147028,as147071,as149007,as149163,as149292,as149296,as149475,as149511,as149795,as149835,as150141,as150173,as150184,as150323,as150373,as199052,as199310,as199605,as199613,as199650,as199656,as199688,as200078,as200105,as200257,as200455,as200536,as200581,as200592,as200631,as200676,as200690,as200728,as200850,as200866,as200885,as200895,as200907,as200949,as200957,as201217,as202197,as202685,as202888,as202939,as202952,as203169,as203236,as203314,as203323,as203472,as203691,as203888,as203899,as204374,as204508,as204617,as205183,as205214,as205432,as205794,as206271,as206729,as207268,as207740,as207780,as208171,as208185,as208223,as208266,as208584,as208679,as208753,as208893,as209554,as210320,as210461,as210770,as210925,as210956,as211013,as211168,as211188,as211358,as211380,as211390,as211411,as211509,as211604,as211843,as211876,as212049,as212294,as212483,as212539,as212828,as213262,as399642,as400312",yekongtat-mnt,06-04-2023,ripe,173,173,0
as-decix-mad-rs-v6,de-cixmadrid,"as42,as112,as702,as1239,as1273,as1547,as2635,as2860,as2906,as3223,as3856,as4230,as4455,as5505,as5511,as6057,as6507,as6939,as7342,as7363,as7713,as8301,as8426,as8637,as8657,as9009,as10282,as10310,as12430,as12479,as12540,as12850,as12956,as13030,as13287,as13335,as13414,as13786,as14593,as15133,as15169,as15699,as15704,as15954,as16030,as16276,as16509,as19551,as20473,as20693,as20710,as20940,as21057,as21320,as21859,as22822,as24429,as24482,as24592,as24768,as25091,as25160,as27471,as29117,as29119,as29337,as30081,as31577,as32590,as32787,as32934,as33353,as33438,as33891,as33932,as34471,as34549,as34803,as34854,as34927,as34977,as35280,as35394,as35699,as36236,as36351,as36891,as37282,as37468,as37680,as37721,as39020,as39328,as39384,as39386,as39691,as41327,as41721,as42325,as42473,as42612,as42947,as43160,as43578,as43833,as44356,as44431,as46489,as47787,as48348,as48793,as48846,as49544,as49600,as50129,as51151,as51681,as53889,as54113,as54994,as55256,as56630,as56882,as56958,as57269,as57344,as57365,as57695,as57877,as57910,as57976,as59432,as60134,as60458,as60488,as60682,as60917,as61337,as61408,as61438,as62352,as64411,as136907,as196610,as196816,as197077,as197267,as197518,as197981,as197991,as198193,as198479,as198934,as199226,as199290,as199434,as199483,as199496,as199524,as199652,as199952,as199976,as200030,as200380,as200738,as200845,as200937,as200960,as201105,as201359,as201446,as201453,as201746,as201843,as201942,as202054,as202087,as202207,as202334,as202550,as202583,as202724,as202766,as202813,as202829,as202831,as202844,as203099,as203679,as203704,as203936,as204773,as204805,as204861,as205081,as205191,as205290,as205530,as205572,as205697,as205718,as206102,as206366,as206404,as206602,as206642,as206657,as206818,as206837,as206853,as207614,as207923,as208591,as208597,as209674,as209835,as210123,as211227,as211826,as211880,as212755,as212795,as213138,as266925",decix-mnt,17-05-2023,ripe,224,224,0
as-inxs-muc,pleasenotetheparentobjectas-inxs!,"as286,as-kq,as1273,as-ecrc,as1299,as-telianet,as3209,as-arcorglobal,as3257,as-tiscali,as3320,as-dtag,as4589,as-easynet,as5539,as-spacenet,as5669,as-via,as6735,as-sdtinxs,as6805,as-tdde,as8220,as-colt,as8222,as-netplace,as8319,as-ixregio,as8379,as-cyberneteu,as8437,as-uta,as8472,as-ignite-de,as8560,as-schlund,as8741,as-ecore,as8767,as-mnetde,as9132,as-mediascape,as12306,as-plusline,as12337,as-noris,as-gat,as13132,as-cyberways,as13237,as-lncinxsm,as13246,as-inetwire,as-highwayonede,as15671,as-completelde,as15717,as-tesion,as15933,as-ith,as15960,as-globalaccess,as16272,as-eastlink,as21385,as-trustnet,as21476,as-acdc",cw-europe-gsoc,07-04-2022,ripe,68,50355,1
as-btc-up,btctoupstreamannounces,"as-net1out,as-comnet-bg,as57813,as210672,as199191,as51859,as12756,as197086,as47748,as50379,as60200,as212533,as211526,as16328,as41844,as207691,as209324,as21433,as206410,as51660,as57840,as212561,as39183,as-netissat,as197236,as50431,as61301,as207772,as202357,as201326,as205526,as12756,as49950,as207371,as207826,as50889,as206804,as203239,as208579,as44179,as50359,as200475,as202543,as49681,as42625,as49041,as200458,as199512,as62323,as47647,as206546,as205808,as206193,as206180,as51383,as51605,as201384,as202690,as44129,as42295,as203312,as203723,as112,as199173,as34841,as38932,as41557,as39135,as43561,as48745,as44564,as39766,as42844,as48115,as48452,as2129,as198765,as25166,as44396,as3245,as3264,as6802,as8262,as8390,as8431,as8672,as8717,as8745,as8795,as43732,as8808,as8860,as8866,as8877,as8880,as9070,as9127,as12564,as12716,as12814,as12829,as12982,as13124,as13147,as13236,as15534,as16154,as16226,as20657,as21249,as21372,as24693,as25076,as25374,as25407,as25556,as29084,as29244,as24750,as21415,as25206,as29080,as29122,as29582,as29366,as25554,as16344,as12591,as12962,as20665,as21337,as24770,as24950,as28949,as29210,as29580,as29622,as29667,as21230,as31522,as49387,as12615,as31527,as31029,as31291,as31534,as31083,as31369,as16328,as12795,as31440,as20682,as29343,as31293,as31011,as31250,as28909,as20911,as31420,as31308,as12815,as31460,as28820,as34340,as34376,as34224,as34272,as38918,as39635,as41234,as24964,as34577,as34314,as29479,as29687,as34524,as35183,as13172,as34491,as34589,as35480,as35503,as35489,as34653,as33853,as25147,as35466,as39163,as39177,as13306,as39357,as44201,as39401,as9119,as39601,as31140,as41352,as35464,as5421,as41922,as41901,as35773,as31014,as39881,as39505,as43943,as42555,as44309,as44247,as44718,as34368,as47410,as35141,as34074,as48746,as44586,as44886,as47849,as19460,as48458,as29170,as8982,as44777,as47212,as44566,as44537,as47686,as9172,as16333,as43612,as49056,as33983,as5379,as35122,as33924,as35444,as48265,as42049,as49850,as43548,as35654,as31435,as43227,as50431,as8734,as197050,as21183,as197055,as41803,as49518,as43272,as41989,as49773,as51404,as48181,as8661,as48982,as50091,as197304,as32768,as39396,as50208,as39553,as51987,as196838,as20956,as42410,as41782,as12436,as48264,as49233,as42431,as56856,as51582,as16193,as197929,as56546,as57116,as42794,as57237,as57070,as47402,as5576,as50194,as197769,as47771,as34569,as35448,as34754,as44203,as48917,as47872,as57374,as56620,as47394,as198279,as45007,as198259,as57705,as57722,as198280,as-57344,as35047,as39611,as197706,as198576,as56468,as42409,as3187,as56371,as31287,as49330,as12783,as198228,as58166,as29238,as57388,as197167,as199048,as50302,as59620,as61364,as58079,as57961,as199211,as61066,as199301,as6777,as196876,as60457,as44077,as44851,as19645,as49699,as48584,as42398,as48053,as197997,as50506,as34295,as48747,as60168,as200033,as39833,as199818,as198744,as39683,as23456,as60974,as41946,as57765,as35428,as197214,as62037,as202209,as202168,as50020,as202043,as57619,as196807,as59463,as42191,as50013,as59742,as62052,as201613,as44814,as50360,as59763,as43202,as56389,as201288,as201212,as-tamatiya,as201114,as44781,as59466,as57538,as201215,as56539,as41339,as202160,as201642,as200872,as201233,as201583,as204232,as59746,as47174,as35761,as60560,as200045,as203390,as41799,as43651,as43713,as62411,as206511,as208318,as61321,as13335,as37893,as209242,as20139,as201461,as40558,as58654,as55383,as58789,as19208,as20285,as18465,as15600,as48582,as10461,as18789,as25889,as210897,as23675,as34913,as273584,as197788,as29711,as18676,as13461,as40243,as16778,as29729,as13395,as45446,as133800,as396982,as398962,as-cloudflare",bt95-adm,02-06-2023,ripe,434,598,1
as-openpeeringmembers,"openpeeringmlpaparticipantsatams-ix,nl-ixandgn-ix","as-openpeering,as-jointtransit,as8560,as15542,as19151,as20689,as24586,as28747,as29462,as43293,as43437,as-16150,as-customers,as34288,as-ix,as-openpeering,as-caveo,as-comned,as-etelecom-2,as-globaleurope,as-griffin,as-gyron,as-haagnet,as-icenet,as-icsnl,as-ielo,as-is,as-ispservices,as-leaseweb,as-linxtelecom-amsix,as-localphone,as-nfsi,as-netholding,as-qcc,as-qinip,as-rapidswitch,as-rbnet,as-signet,as-telegraaf,as-trueserver,as-unet,as-unilogicnet,as-vianet,as-lideronet,as24793,as31800,as39556,as50930,as200130,as-bit,as-cb3rob,as-colocenter,as-evertjenetworks,as-init7,as-widexs,as-kabelfoon,as-luna,as-mainlab-ams,as-meanie,as-netvictory,as-perrit,as-phibee-telecom,as-pine,as-technotop,as20867,as41037,as-zylon,as-phyxia,as-benelux,as-fiberring",openpeering-mnt,27-07-2015,ripe,70,47443,0
as-prometey,severenipv4routingas-set,"as21314,as30924,as33166,as34268,as34836,as35000,as35278,as35595,as35764,as39749,as41067,as42119,as43130,as43362,as48102,as48277,as48308,as48558,as49426,as50230,as50258,as50306,as50538,as50674,as51376,as52007,as56619,as56846,as56886,as57031,as57334,as57557,as58042,as58191,as59434,as59454,as59722,as59840,as60623,as60722,as60913,as61259,as62243,as198324,as198953,as199146,as199247,as199866,as200215,as200362,as200593,as200643,as200734,as200847,as200935,as201190,as201193,as201431,as202629,as202795,as202976,as203703,as204891,as205717,as206357,as206631,as206653,as207353,as207665,as208100,as208178,as208411,as209446,as209636,as209667,as210540,as210705,as211542,as211892,as212272,as212566,as-beget,as198610,as-bonch-it,as207056,as-comlink,as6858,as-delfa,as8915,as-fortis,as50717,as-fotostrana,as50453,as-futures,as25520,as-itgrad,as48096,as-masterbit,as35526,as-set-kanzas,as49943,as-sp-line,as49722,as-severen-telecom,as24739,as-tekk,as210552,as-teyla,as50258,as-ultratelecom,as62218,as-unnet,as31323,as-radio-vols,as31703,as-linetel,as43267",prometey-mnt,18-04-2023,ripe,117,222,0
as-cmft,comfortelcustomers,"as-eps,as-fortis,as-crossmix-telecom,as-expoforum,as-pulnet,as-kolt,as-senator,as-nevacom,as-dreamless,as-vsevnet,as-vlan,as-pudlink,as-startelecomspb,as-seanet,as-proserv,as-satnetspb,as-tiera,as-cttelecom,as-xtrim,as-etalon,as-westcom,as-infolan,as-dedic-center,as-pl-net,as-skytel_as-set,as-kolpinonet,as-set-sang,as-art-com-custom,as-mtel-oblnet,as-ekassir,as-expre_llc,as-tricolor,as-rus-as,as-ihor,as-waveaccess,as-trunkmobile,as-abs,as-cnt-tel,as-hapotele,as-elektra,as-itconst,as207168,as-bttelecom,as-zenit-arena,as3180,as8219,as3227,as13105,as34574,as35112,as39101,as41446,as42119,as42144,as44640,as48226,as44985,as47149,as48180,as48235,as48890,as49017,as49200,as49211,as50082,as50471,as50538,as50801,as51478,as51562,as51783,as51836,as51973,as56336,as56534,as56846,as56928,as57010,as57557,as59482,as59627,as60357,as61286,as62065,as196750,as197040,as197303,as198542,as198580,as199112,as199732,as199790,as200214,as200679,as200847,as201475,as201515,as201601,as201797,as201848,as202633,as202775,as202689,as202935,as202974,as202989,as203004,as203139,as203725,as204219,as204492,as205221,as205378,as205454,as205489,as205601,as205701,as206403,as206647,as206812,as207184,as207256,as207259,as207648,as207698,as208100,as208111,as208371,as205672,as205601,as208325,as208894,as209339,as209636,as209667,as209679,as211191,as211246,as211590,as211609,as211796,as212165,as212278,as212333",cmft-mnt,01-06-2023,ripe,144,223,0
as-interlan-ix-v6,routedasbymagicretailsarlas43424,"as41494,as15471,as203574,as203929,as204641,as21368,as25454,as28727,as31017,as31605,as34630,as35261,as35348,as35512,as35711,as39226,as39391,as39668,as39734,as39777,as39861,as40984,as41953,as42523,as43443,as47427,as47742,as48948,as49052,as49909,as50515,as50604,as50886,as51799,as60602,as62107,as62380,as62388,as62445,as6910,as8220,as-akamai,as-allnet,as-altfel,as-aorta,as-balkan-ix,as-bestnets,as-blizzard,as-chroot,as-cloudflare,as-cnetwork,as-cobratelecom,as-ctsmd,as-dcn,as-ddits,as-distinct,as-efect,as-enter,as-facebook,as-gbxs,as-gemenii,as-google,as-google,as-google,as-gtld,as-hurricane,as-ines,as-infinitytelecom,as-interlanix,as-interlanro,as-kety,as-llhost,as-llnw,as-lroot,as-magyartelekom,as-massive-telecom,as-microsoft,as-mitnet,as-moldtelecom,as-nav,as-netix-net,as-netvisiontel,as-nextgen,as-nflx,as-opendns,as-orangero,as-pch,as-pch,as-peakfactory,as-phoenixnap,as-pronetit,as-retn,as-rnc,as-rnt,as-roedunet,as-rtd,as-sbb,as-softkit,as-starnet,as-sts-ro,as-t-cix-v6,as-teen,as-telecomromania,as-teletrans,as-tennet,as-tti,as-tvsat-transit,as-valve,as-viva,as-voxility-set,as-yahoo,as112,as3557,as43289,as-export,as7713,as-telkom-transit",interlan_iex-mnt,26-02-2020,ripe,117,42059,0
as-aunanet,asesroutedbyaunanet,"as6739,as16338,as12569,as13168,as13287,as15548,as15699,as16371,as16372,as196713,as20815,as21057,as24580,as24624,as24799,as24830,as25140,as25356,as25487,as29119,as29269,as29481,as31164,as31341,as31346,as31418,as31650,as3339,as33932,as34114,as34255,as34285,as34511,as35116,as35454,as35740,as36408,as39020,as39069,as39353,as40973,as41541,as42220,as42241,as42386,as42435,as42439,as42493,as42612,as42666,as43089,as43697,as43707,as44431,as44561,as44585,as44762,as44998,as45001,as45037,as47209,as47683,as47973,as48048,as48202,as48569,as48640,as48710,as48846,as48864,as49343,as49388,as49493,as49565,as49603,as49851,as50715,as50977,as51007,as8216,as9052,as3573,as51294,as197077,as51151,as12980,as13222,as197077,as48884,as51487,as43886,as29337,as52037,as25247,as56388,as29109,as16030,as51457,as56822,as56909,as56571,as56989,as56710,as197974,as57074,as197478,as197795,as43160,as20975,as15734,as198153,as198355,as42083,as56924,as21025,as57910,as198584,as16039,as57970,as43833,as57929,as198871,as198731,as197267,as58345,as41418,as58223,as30937,as58233,as56551,as59723,as12769,as198653,as196816,as199434,as199435,as198411,as197722,as199478,as199589,as58327,as199143,as198968,as39738,as198355,as197722,as44582,as13168,as199581,as50581,as199292,as60314,as31249,as39780,as200014,as62409,as199226,as60675,as59682,as200064,as50564,as199913,as198760,as25479,as199611,as25479,as199905,as41418,as202198,as198355,as202211,as59550,as51676,as198144,as197829,as202054,as60813,as198355,as62412,as56989,as59682,as51007,as42816,as59682,as201551,as16289,as24624,as199292,as33932,as42212,as57286,as201337,as201843,as198381,as201152,as12924,as42612,as202087,as28977,as59682,as48221,as200845,as201153,as200832,as199930,as200892,as199603,as9192,as201815,as62235,as16238,as204166,as203936,as203614,as203709,as201500,as203534,as203934,as203537,as198355,as202829,as202766,as20973,as202825,as202583,as201748,as206945,as207091,as42820,as202676,as206487,as206366,as62352,as205580,as1249,as15937,as44466,as-ymedianet,as35394,as43833,as49000,as48990,as41558,as47507,as50564,as51223,as44717,as48990,as50977,as48624,as197109,as34760,as50926,as44293,as44280,as42947,as51152,as48427,as39339,as41343,as41368,as49000,as50563,as52037,as23456,as25297,as41868,as31653,as51984,as198192,as57877,as60551,as61953,as14537,as197712,as199976,as64754,as204042,as204004,as201735,as202599,as207058,as206930,as206853,as202767,as200960,as206430,as206657,as206195,as205775,as205792,as206837,as62104,as202883,as202813,as204463,as203499,as206833,as201234,as200290,as205888,as204695,as205191,as43388,as205241,as210055,as41721,as203991,as209803,as205279,as206496,as206882,as210100,as210097,as209688,as59631,as39691,as207040,as206602,as197100,as202345,as203183,as208939,as208735,as199312,as205836,as200387,as60134,as202754,as206057,as210225,as208533,as208738,as12715,as200937,as209858,as207628,as208103,as208823,as204884,as207136,as42325,as203244,as202814,as206565,as209492,as206077",ono-mnt,21-03-2023,ripe,347,323,0
