as-set,descr,members,mnt-by,last-modified,source,AS_count,cone,class
as-mediasouz,docusign,"as42001,as34464",mnt-media-soyouz,09-12-2020,ripe,2,2,0
as-domtvcom,domtvcomasset,"as-untc,as44519",domtvcom-mnt,02-01-2009,ripe,2,9,0
as31122:as-all-peers,"peersofas31122,viatel","as42,as112,as702,as786,as1213,as1248,as1267,as2110,as2119,as2128,as2529,as2603,as2818,as2860,as2906,as3213,as3741,as3856,as4589,as4788,as5459,as5466,as5503,as5580,as5607,as6067,as6327,as6661,as6663,as6774,as6830,as6871,as6894,as6939,as7342,as8001,as8075,as8220,as8304,as8330,as8359,as8422,as8426,as8447,as8468,as8544,as8550,as8553,as8560,as8586,as8607,as8657,as8674,as8681,as8708,as8714,as8781,as8851,as8881,as8897,as8902,as8912,as8943,as8966,as9002,as9009,as9116,as9145,as9191,as9498,as10310,as11666,as12041,as12337,as12350,as12388,as12389,as12399,as12552,as12654,as12703,as12713,as12859,as12989,as13030,as13037,as13213,as13285,as13335,as14413,as14537,as15133,as15169,as15502,as15533,as15612,as15766,as15830,as15839,as16082,as16171,as16276,as17451,as19151,as20485,as20562,as20738,as20799,as20860,as20940,as21327,as21345,as21371,as21396,as22822,as24724,as24851,as24931,as25061,as25091,as25152,as25178,as25286,as25369,as25441,as25562,as25577,as26415,as28917,as28929,as29009,as29169,as29208,as29297,as29314,as29527,as29550,as29636,as29644,as29650,as29668,as30071,as30094,as30740,as30781,as30827,as30844,as30914,as31270,as31500,as31641,as31715,as31727,as32787,as32934,as33920,as34066,as34245,as34288,as34309,as34442,as34505,as34655,as34695,as34790,as34803,as35028,as35180,as35228,as35425,as35432,as35662,as35916,as36944,as38082,as39093,as39111,as39122,as39233,as39319,as39444,as39449,as39792,as41073,as41095,as41230,as41678,as41692,as41811,as42227,as42310,as42353,as42455,as42456,as42473,as42708,as42861,as42973,as43531,as43760,as43996,as44212,as44444,as44654,as46391,as46489,as46786,as47480,as47680,as49544,as50292,as50384,as51706,as60277,as61194,as62059,as64597,as198335,as199256",digiweb-mnt,21-05-2019,ripe,219,219,0
as-alliander,downstreamsofmisakanetworkasset2,"as-jointtransit,as-nbip,as-openpeering,as13237,as34307",mnt-alliander,24-08-2020,ripe,5,4653,1
as-vega-transit,as-setforvegasystemsgmbh&co.kg,"as34372,asystems,as-comspace-transit",mfs-mnt,01-06-2018,ripe,3,3,0
as-fastn,fastnet-net&cloudprovider-ases,"as8265,as15746,as200148,as20144",fastnet-mnt,28-04-2022,ripe,4,4,0
as-martelcom-vt,"marielbranchjsc""volgatelecom""andclientsas-es",as5591,as5591-mnt,14-02-2013,ripe,1,1,1
as-arhat,equinixconnectipplatform-zwolle,as50204,arhat-mnt,22-07-2021,ripe,1,1,0
as8218:as-fr-customers,as8218customersinfrance,"as-altitudetelecom,as-axione-customers,as-b3g,as-bcs,as-bluegix,as-cfm,as-covage,as-cyrealis,as-devclic,as-docaposte,as-doctissimo,as-edf,as-fotovista,as-fullsave,as-galacsys,as-galoptelecom,as-hexanet,as-hexatom,as-hivane,as-ibo,as-ielo,as-iilyo,as-ixeurope-fr,as-jeuxvideo,as-keyyo,as-lasotel,as-linker,as-mediactive,as-mit,as-multi-visp,as-mystream,as-nameshield,as-netensia,as-netiwan,as-nexen,as-nexylan,as-novso,as-numericable,as-prisme,as-owentis,as-oxyd,as-reagi,as-remote24-set,as-rmi,as-s2e,as-satecom,as-sdv,as-skyrock,as-soluinfo,as-telehouse,as-w2my,as-witbe,as-worldline,as1301,as2072,as2094,as2483,as2486,as3573,as5091,as5795,as6453,as8399,as8723,as12318,as12516,as12565,as12601,as12645,as12727,as12765,as12807,as12826,as12849,as15401,as15401,as-customers,as15436,as15695,as15762,as15826,as15847,as16101,as16128,as16136,as16140,as16363,as17025,as20144,as20672,as20756,as20900,as21247,as21610,as24954,as25117,as25426,as25452,as25593,as26558,as28774,as29075,as29104,as29301,as29513,as29605,as30419,as30752,as30972,as31167,as31178,as31221,as31328,as31591,as31660,as31688,as33619,as33897,as33930,as34173,as34235,as34306,as34391,as34433,as34510,as34659,as34683,as34749,as34761,as34970,as34993,as35184,as35651,as35798,as36408,as37002,as38989,as39162,as39180,as39286,as39495,as39606,as39634,as39771,as39931,as41090,as41473,as41628,as41652,as42487,as42795,as42924,as43436,as43494,as43619,as43702,as43794,as44000,as44373,as44407,as44527,as44902,as44994,as45050,as47472,as47494,as47841,as47866,as47957,as48026,as48069,as48072,as48402,as48504,as48594,as48668,as49152,as49328,as49463,as49477,as49594,as49690,as49920,as50032,as50474,as50535,as50547,as50624,as50778,as50889,as50954,as51128,as51149,as51243,as51269,as51335,as51664,as51588,as53589,as54994,as56403,as56455,as56844,as57103,as57468,as57642,as57734,as57809,as57928,as57951,as58131,as59417,as59470,as59518,as59662,as59689,as59842,as59944,as60032,as60331,as60427,as60855,as60940,as61098,as61168,as61221,as64444,as100618,as12771,as197036,as197056,as197076,as197133,as197264,as197383,as197485,as197562,as197653,as197736,as198006,as198177,as198331,as198551,as198641,as198682,as198706,as198732,as198749,as198875,as199027,as199248,as199349,as199397,as199441,as199708,as199712,as199749,as199758,as200069,as200077,as200435,as200484,as200618,as200741,as200783,as200836,as201085,as201246,as201408,as201605,as201693,as201699,as201807,as201876,as201932,as201939,as202214,as202215,as202236,as202381,as202448,as202568,as202582,as202664,as202862,as203041,as203133,as203400,as203745,as203770,as203797,as203908,as204046,as204202,as204273,as204460,as204515,as204657,as204975,as205215,as205263,as205418,as205633,as205681,as205921,as205992,as206399,as206903,as206940,as206944,as206958,as207100,as208014,as208635,as208746,as209124,as209536,as209815,as209852,as209993,as210182,as210136,as210182,as210492,as208199,as210433,as210199,as212530,as212579",neo-mnt,08-02-2023,ripe,329,1516,0
as-energispl,energispolskacustomers,"as8938,as15443,as20486,as21169,as21404,as25410,as29023,as29227,as29235,as31229,as31280,as31604,as33826,as34298,as38942,as39112,as39698,as41097,as41476,as41776,as42118,as42927,as43153,as43638,as47520,as44501,as-pilicka",as8938-maint,12-05-2015,ripe,27,27,0
